full_name,stars,forks,language,description,topics,updated_at,license,html_url,matched_queries_count,llm_analysis,is_relevant,reason
antinomyhq/forge,4582,1183,Rust,"AI enabled pair programmer for Claude, GPT, O Series, Grok, Deepseek, Gemini and 300+ models","ai-pair-programming, ai-workflows, artifical-intelligense, claude-3-7-sonnet, claude-4, claude-4-sonnet, cli-assistant, command-line, grok, llm, multi-agent-reinforcement-learning, open-router, open-source-claude-code, openai, qwen, shell",2025-12-11T17:37:05Z,Apache-2.0,https://github.com/antinomyhq/forge,6,"{'is_relevant': True, 'reason': 'The repository implements an AI-enabled pair programming system which involves interaction among multiple agents (Claude, GPT, and others), aligning with the criteria for Relevance.'}",True,"The repository implements an AI-enabled pair programming system which involves interaction among multiple agents (Claude, GPT, and others), aligning with the criteria for Relevance."
langroid/langroid,3794,350,Python,Harness LLMs with Multi-Agent Programming,"agents, ai, chatgpt, function-calling, gpt, gpt-4, gpt4, information-retrieval, language-model, llama, llm, llm-agent, llm-framework, local-llm, multi-agent-systems, openai-api, rag, retrieval-augmented-generation",2025-12-10T08:02:15Z,MIT,https://github.com/langroid/langroid,6,"{'is_relevant': True, 'reason': 'The repository implements a specific application that uses multiple interacting agents leveraging LLMs, which meets the criteria for relevance.'}",True,"The repository implements a specific application that uses multiple interacting agents leveraging LLMs, which meets the criteria for relevance."
Mirix-AI/MIRIX,3586,334,Python,Mirix is a multi-agent personal assistant designed to track on-screen activities and answer user questions intelligently. By capturing real-time visual data and consolidating it into structured memori,"llm-agents, llm-memory, memory-agents, personal-assistant",2025-12-11T18:46:39Z,Apache-2.0,https://github.com/Mirix-AI/MIRIX,6,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent personal assistant that interacts with multiple agents to track on-screen activities and answer user questions intelligently, thus fulfilling the criteria for a Multi-Agent System leveraging LLMs.'}",True,"The repository implements a multi-agent personal assistant that interacts with multiple agents to track on-screen activities and answer user questions intelligently, thus fulfilling the criteria for a Multi-Agent System leveraging LLMs."
Josh-XT/AGiXT,3131,443,Python,"AGiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, a","agent-llm, agi, agixt, ai, artificial, automation, chromadb, intelligence, llama, llamacpp, llm, llmops, openai, python",2025-12-11T10:42:00Z,MIT,https://github.com/Josh-XT/AGiXT,6,"{'is_relevant': True, 'reason': 'AGiXT orchestrates instruction management and task execution across diverse AI providers, indicating it implements a multi-agent system that leverages LLMs for complex interactions.'}",True,"AGiXT orchestrates instruction management and task execution across diverse AI providers, indicating it implements a multi-agent system that leverages LLMs for complex interactions."
iOfficeAI/AionUi,3048,242,TypeScript,"Free, local, open-source GUI app for Gemini CLI, Claude Code, Codex, Qwen Code, and more — Enhanced Chat UI, WebUI, Multi-Agent & Multi-LLM, MCP Integration | 🌟 Star if you like it!","acp, ai, ai-agent, banana, chat, chatbot, claude-code, codex, excel, gemini, gemini-cli, gemini-pro, gui, llm, local, multi-agent, nano-banana, office, qwen-code, webui",2025-12-11T17:30:01Z,Apache-2.0,https://github.com/iOfficeAI/AionUi,5,"{'is_relevant': True, 'reason': 'The repository implements a specific application as a GUI for interacting with multiple LLMs and supports multiple agents, aligning with the criteria for a Multi-Agent System.'}",True,"The repository implements a specific application as a GUI for interacting with multiple LLMs and supports multiple agents, aligning with the criteria for a Multi-Agent System."
kingjulio8238/Memary,2513,188,Jupyter Notebook,The Open Source Memory Layer For Autonomous Agents,"agents, knowledge-graph, memory, multiagent-systems, rag, self-improvement",2025-12-09T23:58:27Z,MIT,https://github.com/kingjulio8238/Memary,6,"{'is_relevant': True, 'reason': 'The repository implements an open source memory layer specifically designed for autonomous agents, which suggests a focus on multi-agent systems utilizing LLMs for memory and interaction.'}",True,"The repository implements an open source memory layer specifically designed for autonomous agents, which suggests a focus on multi-agent systems utilizing LLMs for memory and interaction."
jmiao24/Paper2Agent,1843,305,Jupyter Notebook,Paper2Agent is a multi-agent AI system that automatically transforms research papers into interactive AI agents with minimal human input.,,2025-12-11T10:56:13Z,MIT,https://github.com/jmiao24/Paper2Agent,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent AI system that transforms research papers into interactive AI agents, which indicates a specific application involving multiple interacting agents within a MAS context.'}",True,"The repository implements a multi-agent AI system that transforms research papers into interactive AI agents, which indicates a specific application involving multiple interacting agents within a MAS context."
FareedKhan-dev/all-agentic-architectures,1829,290,Jupyter Notebook,Implementation of 17+ agentic architectures designed for practical use across different stages of AI system development.,"agentic-ai, ai-agents, langchain, langgraph, langsmith, llm",2025-12-11T18:41:01Z,MIT,https://github.com/FareedKhan-dev/all-agentic-architectures,6,"{'is_relevant': True, 'reason': 'The repository implements 17+ agentic architectures designed for practical use across different stages of AI system development, which suggests a focus on multi-agent applications, particularly leveraging LLMs.'}",True,"The repository implements 17+ agentic architectures designed for practical use across different stages of AI system development, which suggests a focus on multi-agent applications, particularly leveraging LLMs."
101dotxyz/GPTeam,1707,256,Python,GPTeam: An open-source multi-agent simulation,"agents, ai, autogpt, gpt-4",2025-11-22T18:12:23Z,MIT,https://github.com/101dotxyz/GPTeam,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent simulation, which indicates that it involves multiple interacting agents rather than serving as a framework or tool for building multi-agent systems.'}",True,"The repository implements a multi-agent simulation, which indicates that it involves multiple interacting agents rather than serving as a framework or tool for building multi-agent systems."
guy-hartstein/company-research-agent,1546,239,Python,An agentic company research tool powered by LangGraph and Tavily that conducts deep diligence on companies using a multi-agent framework. It leverages Google's Gemini 2.5 Flash and OpenAI's GPT-5.1 on,"agents, ai, company, financial-analysis, gemini, langchain, langgraph-python, multi-agent-systems, openai, python, research, tavily, tavily-api, tavily-search",2025-12-11T06:48:50Z,Apache-2.0,https://github.com/guy-hartstein/company-research-agent,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application that uses a multi-agent framework for conducting deep diligence on companies, leveraging LLMs like Gemini 2.5 Flash and GPT-5.1.'}",True,"The repository implements a specific application that uses a multi-agent framework for conducting deep diligence on companies, leveraging LLMs like Gemini 2.5 Flash and GPT-5.1."
starpig1129/DATAGEN,1525,216,Python,"DATAGEN: AI-driven multi-agent research assistant automating hypothesis generation, data analysis, and report writing. Now expanding into crypto market intelligence. Learn more: https://datagen.digita","agent, ai, ai-data-analysis, artificial-intelligence, code-generation, data-analysis, data-analytics, data-science, langchain, langgraph, large-language-model, large-language-models, llm, multiagent-systems, python",2025-12-09T10:34:58Z,MIT,https://github.com/starpig1129/DATAGEN,4,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent research assistant utilizing AI for hypothesis generation, data analysis, and report writing, which aligns with the criteria for relevance involving interacting agents in a specific application.'}",True,"The repository implements a multi-agent research assistant utilizing AI for hypothesis generation, data analysis, and report writing, which aligns with the criteria for relevance involving interacting agents in a specific application."
Farama-Foundation/chatarena,1521,147,Python,ChatArena (or Chat Arena) is a Multi-Agent Language Game Environments for LLMs. The goal is to develop communication and collaboration capabilities of AIs.,"ai, artificial-intelligence, chatgpt, gpt-4, large-language-models, multi-agent, multi-agent-reinforcement-learning, multi-agent-simulation, natural-language-processing, python",2025-12-10T06:53:26Z,Apache-2.0,https://github.com/Farama-Foundation/chatarena,2,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent Language Game Environment specifically designed to develop communication and collaboration capabilities among multiple interacting AIs, meeting the criteria for relevance.'}",True,"The repository implements a Multi-Agent Language Game Environment specifically designed to develop communication and collaboration capabilities among multiple interacting AIs, meeting the criteria for relevance."
Link-AGI/AutoAgents,1443,178,Python,[IJCAI 2024] Generate different roles for GPTs to form a collaborative entity for complex tasks.,,2025-12-05T20:33:57Z,MIT,https://github.com/Link-AGI/AutoAgents,4,"{'is_relevant': True, 'reason': 'The repository implements different roles for GPTs to form a collaborative entity, indicating a specific application involving multiple interacting agents, thus fitting the criteria for a Multi-Agent System.'}",True,"The repository implements different roles for GPTs to form a collaborative entity, indicating a specific application involving multiple interacting agents, thus fitting the criteria for a Multi-Agent System."
jihe520/MathModelAgent,1431,187,Vue,"🤖📐专为数学建模设计的 Agent ,自动完成数学建模，生成一份完整的可以直接提交的论文。 An Agent Designed for Mathematical Modeling ,Automatically complete mathmodel and generate a complete paper ready for submission.","agent, llm, mathmodel, muti-agent",2025-12-11T17:35:24Z,,https://github.com/jihe520/MathModelAgent,3,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent System specifically designed for mathematical modeling, as it involves multiple agents working together to complete a math model and generate a paper.'}",True,"The repository implements a Multi-Agent System specifically designed for mathematical modeling, as it involves multiple agents working together to complete a math model and generate a paper."
lupantech/AgentFlow,1398,183,Python,AgentFlow: In-the-Flow Agentic System Optimization,"agentic-ai, agentic-systems, llms, llms-reasoning, multi-agent-systems, reinforcement-learning, tool-augmented",2025-12-11T17:48:37Z,MIT,https://github.com/lupantech/AgentFlow,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents in the context of agentic systems, leveraging LLMs as part of an in-the-flow optimization approach.'}",True,"The repository implements a specific application involving multiple interacting agents in the context of agentic systems, leveraging LLMs as part of an in-the-flow optimization approach."
asinghcsu/AgenticRAG-Survey,1322,159,,Agentic-RAG explores advanced Retrieval-Augmented Generation systems enhanced with AI LLM agents. ,"agentic, agentic-ai, agentic-framework, agentic-pattern, agentic-rag, agentic-workflow, llm-agent, multi-agent-systems, multiagent, rag, reflection, tools",2025-12-11T07:03:41Z,,https://github.com/asinghcsu/AgenticRAG-Survey,4,"{'is_relevant': True, 'reason': 'The repository explores advanced Retrieval-Augmented Generation systems enhanced with AI LLM agents, suggesting an implementation involving multiple interacting agents, which aligns with the relevant criteria.'}",True,"The repository explores advanced Retrieval-Augmented Generation systems enhanced with AI LLM agents, suggesting an implementation involving multiple interacting agents, which aligns with the relevant criteria."
Danau5tin/multi-agent-coding-system,1292,162,Python,"Reached #13 on Stanford's Terminal Bench leaderboard. Orchestrator, explorer & coder agents working together with intelligent context sharing.",,2025-12-10T22:25:48Z,Apache-2.0,https://github.com/Danau5tin/multi-agent-coding-system,4,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system where orchestrator, explorer, and coder agents work together, indicating a specific application involving multiple interacting agents.'}",True,"The repository implements a multi-agent system where orchestrator, explorer, and coder agents work together, indicating a specific application involving multiple interacting agents."
langfengQ/verl-agent,1265,112,Python,"verl-agent is an extension of veRL, designed for training LLM/VLM agents via RL. verl-agent is also the official code for paper ""Group-in-Group Policy Optimization for LLM Agent Training""","agent-framework, deepseek-r1, gigpo, grpo, large-language-models, llm-agents, llm-training, reinforcement-learning",2025-12-11T17:14:43Z,Apache-2.0,https://github.com/langfengQ/verl-agent,1,"{'is_relevant': True, 'reason': 'The repository verl-agent is designed for training LLM agents using reinforcement learning, specifically focused on optimizing multi-agent interactions, which aligns with the criteria for implementing a Multi-Agent System.'}",True,"The repository verl-agent is designed for training LLM agents using reinforcement learning, specifically focused on optimizing multi-agent interactions, which aligns with the criteria for implementing a Multi-Agent System."
codefuse-ai/codefuse-chatbot,1258,132,Python,"An intelligent assistant serving the entire software development lifecycle, powered by a Multi-Agent Framework, working with DevOps Toolkits, Code&Doc Repo RAG,  etc.","aiops, chatbot, code-repo-analysis, code-repo-generation, devops, gpt, knowledge-graph, langchain, multi-agent, rag, tool-learning",2025-12-10T07:48:48Z,NOASSERTION,https://github.com/codefuse-ai/codefuse-chatbot,3,"{'is_relevant': True, 'reason': 'The repository implements an intelligent assistant that serves the entire software development lifecycle using a Multi-Agent Framework, indicating it incorporates multiple interacting agents, which aligns with the relevance criteria.'}",True,"The repository implements an intelligent assistant that serves the entire software development lifecycle using a Multi-Agent Framework, indicating it incorporates multiple interacting agents, which aligns with the relevance criteria."
metaskills/experts,1060,63,JavaScript,Experts.js is the easiest way to create and deploy OpenAI's Assistants and link them together as Tools to create advanced Multi AI Agent Systems with expanded memory and attention to detail.,"agents, ai, ai-agents, assistants-api, multi-agent-systems, openai, openai-assistants, openai-assistants-api",2025-11-25T15:06:52Z,MIT,https://github.com/metaskills/experts,1,"{'is_relevant': True, 'reason': ""The repository implements Experts.js which allows for the creation and deployment of OpenAI's Assistants that function as a Multi-Agent System, specifically allowing multiple agents to interact and work together with expanded memory and attention to detail.""}",True,"The repository implements Experts.js which allows for the creation and deployment of OpenAI's Assistants that function as a Multi-Agent System, specifically allowing multiple agents to interact and work together with expanded memory and attention to detail."
Doriandarko/make-it-heavy,1058,182,Python,"A Python framework that emulates Grok Heavy functionality using intelligent multi-agent orchestration. Deploy 4 (or more) specialized AI agents in parallel to deliver comprehensive, multi-perspective ",,2025-12-11T12:36:05Z,NOASSERTION,https://github.com/Doriandarko/make-it-heavy,4,"{'is_relevant': True, 'reason': 'The repository implements a Python framework that specifically emulates multi-agent orchestration, fulfilling the criteria of leveraging multiple specialized AI agents for collaborative tasks.'}",True,"The repository implements a Python framework that specifically emulates multi-agent orchestration, fulfilling the criteria of leveraging multiple specialized AI agents for collaborative tasks."
Onelevenvy/flock,1056,131,TypeScript,"Flock is a workflow-based low-code platform for rapidly building chatbots, RAG, and coordinating multi-agent teams, powered by LangGraph, Langchain, FastAPI, and NextJS.（Flock 是一个基于workflow工作流的低代码平台，用","agent, ai, chatbot, crewai, deekseek, dify, fastapi, langchain, langgraph, langgraph-gui, llm, mcp, muti-agent, nextjs, ollama, openai, openapi, rag, react-flow, workflow",2025-12-05T07:58:44Z,Apache-2.0,https://github.com/Onelevenvy/flock,4,"{'is_relevant': True, 'reason': 'The repository implements a workflow-based low-code platform specifically for building chatbots and coordinating multi-agent teams, indicating a focus on multi-agent systems utilizing LLMs.'}",True,"The repository implements a workflow-based low-code platform specifically for building chatbots and coordinating multi-agent teams, indicating a focus on multi-agent systems utilizing LLMs."
SalesforceAIResearch/enterprise-deep-research,998,158,Python,Salesforce Enterprise Deep Research,"deep-research-agent, e2b, fastapi, langchain, llm-benchmarking, multi-agent-systems, react, tailwindcss, tavily",2025-12-11T16:05:24Z,Apache-2.0,https://github.com/SalesforceAIResearch/enterprise-deep-research,4,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system leveraging LLMs through deep research applications, aligning with the criteria for relevance.'}",True,"The repository implements a multi-agent system leveraging LLMs through deep research applications, aligning with the criteria for relevance."
Dicklesworthstone/mcp_agent_mail,972,96,Python,Like gmail for your coding agents. Lets various different agents communicate and coordinate with each other.,,2025-12-11T17:26:47Z,MIT,https://github.com/Dicklesworthstone/mcp_agent_mail,4,"{'is_relevant': True, 'reason': 'The repository implements a specific application that allows various agents to communicate and coordinate with each other, fitting the criteria for a Multi-Agent System (MAS) leveraging LLMs.'}",True,"The repository implements a specific application that allows various agents to communicate and coordinate with each other, fitting the criteria for a Multi-Agent System (MAS) leveraging LLMs."
vxcontrol/pentagi,866,148,Go,✨ Fully autonomous AI Agents system capable of performing complex penetration testing tasks,"ai-agents, ai-security-tool, anthropic, autonomous-agents, golang, gpt, graphql, multi-agent-system, offensive-security, open-source, openai, penetration-testing, penetration-testing-tools, react, security-automation, security-testing, security-tools, self-hosted",2025-12-11T09:58:33Z,MIT,https://github.com/vxcontrol/pentagi,4,"{'is_relevant': True, 'reason': 'The repository implements a fully autonomous AI Agents system capable of performing complex penetration testing tasks, which suggests the use of multiple interacting agents in a specific application, aligning with the criteria for relevance.'}",True,"The repository implements a fully autonomous AI Agents system capable of performing complex penetration testing tasks, which suggests the use of multiple interacting agents in a specific application, aligning with the criteria for relevance."
gadievron/raptor,777,6,Python,"Raptor turns Claude Code into a general-purpose AI offensive/defensive security agent. By using Claude.md and creating rules, sub-agents, and skills, and orchestrating security tool usage, we configur",,2025-12-11T16:21:04Z,MIT,https://github.com/gadievron/raptor,4,"{'is_relevant': True, 'reason': 'The repository implements a specific application that leverages multiple agents for offensive and defensive security tasks using Claude Code, indicating a multi-agent system context.'}",True,"The repository implements a specific application that leverages multiple agents for offensive and defensive security tasks using Claude Code, indicating a multi-agent system context."
tsinghua-fib-lab/AgentSociety,742,141,Python,AgentSociety: Large-scale Social Simulation to Understand Human Behaviors and Society through LLM-driven Agents,,2025-12-10T12:27:57Z,Apache-2.0,https://github.com/tsinghua-fib-lab/AgentSociety,1,"{'is_relevant': True, 'reason': 'The repository implements a large-scale social simulation that involves multiple LLM-driven agents interacting with each other to understand human behaviors and society, which aligns with the criteria for a Multi-Agent System.'}",True,"The repository implements a large-scale social simulation that involves multiple LLM-driven agents interacting with each other to understand human behaviors and society, which aligns with the criteria for a Multi-Agent System."
divar-ir/ai-doc-gen,671,65,Python,"AI-powered multi-agent system that automatically analyzes codebases and generates comprehensive documentation. Features GitLab integration, concurrent processing, and multiple LLM support for better c","agent, ai, ai-documentation, code-analysis, documentation, multi-agent, pydantic-ai, python",2025-12-11T08:58:44Z,MIT,https://github.com/divar-ir/ai-doc-gen,4,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system that analyzes codebases and generates documentation, which fits the criteria of using multiple interacting agents.'}",True,"The repository implements a multi-agent system that analyzes codebases and generates documentation, which fits the criteria of using multiple interacting agents."
souvikmajumder26/Multi-Agent-Medical-Assistant,669,155,Python,"⚕️GenAI powered multi-agentic medical diagnostics and healthcare research assistance chatbot. 🏥 Designed for healthcare professionals, researchers and patients.","agent, agentic-ai, agents, chatbot, computer-vision, disease-detection, genai, genai-chatbot, generative-ai, guardrails, langchain, langgraph, large-language-models, llm, medical-image-processing, medical-imaging, python, rag, retrieval-augmented-generation, vector-database",2025-12-10T02:31:35Z,Apache-2.0,https://github.com/souvikmajumder26/Multi-Agent-Medical-Assistant,4,"{'is_relevant': True, 'reason': 'The repository implements a specific application of a multi-agent system that assists in medical diagnostics, leveraging generative AI and large language models, which meets the criteria for relevance.'}",True,"The repository implements a specific application of a multi-agent system that assists in medical diagnostics, leveraging generative AI and large language models, which meets the criteria for relevance."
massgen/MassGen,641,94,Python,"🚀 MassGen is an open-source multi-agent scaling system that runs in your terminal, autonomously orchestrating frontier models and agents to collaborate, reason, and produce high-quality results. | Joi","agent, agentic-ai, autonomous-agents, cli, collaborative-ai, conversational-ai, genai, generative-ai, llm, llm-orchestration, model-context-protocol, multi-agent, python, terminal-ui, test-time-scaling, tool-calling",2025-12-10T18:13:49Z,NOASSERTION,https://github.com/massgen/MassGen,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system that autonomously orchestrates agents to collaborate and produce outcomes, fulfilling the criteria of using multiple interacting agents in a specific application context.'}",True,"The repository implements a multi-agent system that autonomously orchestrates agents to collaborate and produce outcomes, fulfilling the criteria of using multiple interacting agents in a specific application context."
s-smits/agentic-cursorrules,639,57,Python,A practical approach to managing multiple AI agents in Cursor through strict file-tree partitioning and domain boundaries.,,2025-11-29T17:11:27Z,,https://github.com/s-smits/agentic-cursorrules,1,"{'is_relevant': True, 'reason': 'The repository implements a practical approach to managing multiple AI agents through strict file-tree partitioning and domain boundaries, indicating a specific application involving multiple interacting agents.'}",True,"The repository implements a practical approach to managing multiple AI agents through strict file-tree partitioning and domain boundaries, indicating a specific application involving multiple interacting agents."
langtalks/swe-agent,596,114,Python,🤖 AI-powered software engineering multi-agent system with researcher and developer agents that automate code implementation through intelligent planning and execution. Built with LangGraph multi-agent,,2025-12-11T01:30:28Z,MIT,https://github.com/langtalks/swe-agent,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents in a multi-agent system context, utilizing AI for code implementation through intelligent planning and execution.'}",True,"The repository implements a specific application involving multiple interacting agents in a multi-agent system context, utilizing AI for code implementation through intelligent planning and execution."
minghao-wu/transagents,588,28,,"The official repository of the paper ""(Perhaps) Beyond Human Translation: Harnessing Multi-Agent Collaboration for Translating Ultra-Long Literary Texts""",,2025-12-10T16:52:23Z,Apache-2.0,https://github.com/minghao-wu/transagents,3,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents for translating ultra-long literary texts, aligning with the criteria for relevance.'}",True,"The repository implements a specific application involving multiple interacting agents for translating ultra-long literary texts, aligning with the criteria for relevance."
